cntyname,lat,lon,visits,alpha,vaccinated,unvacc,old_coverage_pct,new_coverage_pct
Alcona,44.6694,-83.1827,1,14,14,33,70.8,83.19
Alger,46.4468,-86.5373,1,12,12,38,59.57,72.34
Allegan,42.5906,-85.8908,2,14,28,547,70.86,72.35
Alpena,45.065,-83.4327,1,15,15,93,73.2,77.52
Antrim,45.0164,-85.1561,1,13,13,102,63.83,68.44
Arenac,44.0417,-83.9127,1,13,13,57,64.6,72.67
Baraga,46.7611,-88.4937,1,13,13,39,64.55,76.36
Barry,42.5994,-85.3089,2,12,24,343,62.27,64.91
Bay,43.6961,-83.9838,2,15,30,301,76.3,78.66
Benzie,44.6028,-86.0875,1,14,14,53,72.25,79.58
Berrien,41.9275,-86.4228,3,13,39,757,62.86,64.77
Branch,41.9133,-85.0625,2,11,22,412,52.53,55.07
Calhoun,42.245,-85.0011,3,13,39,768,62.57,64.47
Cass,41.9133,-85.9942,1,13,13,177,65.96,68.46
Charlevoix,45.3436,-85.1738,1,12,12,116,61.46,65.45
Cheboygan,45.57,-84.481,1,12,12,105,59.77,64.37
Chippewa,46.3939,-84.5819,1,11,11,182,56.14,58.8
Clare,43.9861,-84.8441,2,10,20,202,52.47,57.18
Clinton,42.9436,-84.5994,1,15,15,274,73.48,74.93
Crawford,44.6833,-84.605,1,14,14,54,67.86,76.19
Delta,45.8006,-86.9141,1,14,14,130,69.48,72.77
Detroit,42.3314,-83.0458,289,11,3179,5092,52.99,82.34
Dickinson,46.0042,-87.873,1,13,13,115,65.26,69.18
Eaton,42.5994,-84.8413,2,14,28,465,69.39,71.23
Emmet,45.5528,-84.9538,1,14,14,106,70.22,74.16
Genesee,43.0128,-83.6927,8,13,104,2072,65.34,67.08
Gladwin,43.9861,-84.3619,1,11,11,146,55.89,59.21
Gogebic,46.4928,-89.8627,1,11,11,67,55.33,62.67
Grand Traverse,44.7436,-85.5644,2,14,28,393,68.83,71.05
Gratiot,43.2961,-84.5994,1,14,14,163,71.25,73.72
Hillsdale,41.9133,-84.5994,2,11,22,300,56.2,59.42
Houghton,47.0042,-88.6064,2,11,22,272,53.74,57.48
Huron,43.9275,-83.0605,1,13,13,149,63.39,66.58
Ingham,42.5994,-84.3619,5,14,70,1249,68.59,70.35
Ionia,42.9436,-85.0625,2,13,26,356,65.2,67.74
Iosco,44.3019,-83.5189,1,13,13,109,65.83,69.91
Iron,46.21,-88.5214,1,10,10,60,50.41,58.68
Isabella,43.6294,-84.8441,2,13,26,306,65.58,68.5
Jackson,42.245,-84.4022,3,13,39,714,67.16,68.95
Kalamazoo,42.245,-85.5364,4,15,60,1037,72.94,74.5
Kalkaska,44.7297,-85.1611,1,12,12,102,62.22,66.67
Kent,43.0128,-85.5364,10,15,150,2852,75.5,76.79
Keweenaw,47.45,-88.09,1,7,7,22,33.33,54.55
Lake,43.9861,-85.82,1,11,11,62,55.07,63.04
Lapeer,43.0997,-83.2188,3,10,30,568,50.35,52.97
Leelanau,45.0653,-85.7703,1,13,13,82,62.9,68.78
Lenawee,41.9136,-84.0478,2,14,28,371,68.74,71.1
Livingston,42.5994,-83.9127,4,13,52,884,66.5,68.47
Luce,46.4736,-85.4892,1,10,10,34,50.0,64.71
Mackinac,46.0897,-84.7478,1,11,11,50,56.14,65.79
Macomb,42.67,-82.92,17,13,221,4275,65.8,67.57
Manistee,44.2972,-86.0875,1,12,12,109,58.71,63.26
Marquette,46.5503,-87.6536,1,14,14,240,68.46,70.3
Mason,43.9861,-86.0875,1,14,14,98,69.94,74.23
Mecosta,43.6294,-85.3089,2,12,24,244,60.52,64.4
Menominee,45.5275,-87.5817,1,12,12,115,61.02,65.08
Midland,43.6294,-84.3619,1,15,15,292,75.25,76.53
Missaukee,44.3019,-85.1053,1,13,13,83,63.76,69.43
Monroe,41.9136,-83.4889,3,13,39,697,62.73,64.81
Montcalm,43.2961,-85.1053,2,13,26,364,63.85,66.43
Montmorency,45.0306,-84.1353,1,12,12,35,62.37,75.27
Muskegon,43.355,-86.1089,3,14,42,763,71.61,73.18
Newaygo,43.6294,-85.82,2,12,24,301,60.08,63.26
Oakland,42.6564,-83.3816,20,14,280,5481,69.56,71.11
Oceana,43.6586,-86.2142,1,13,13,136,66.17,69.4
Ogemaw,44.3019,-84.1353,1,13,13,104,63.76,68.29
Ontonagon,46.7972,-89.17,0,15,0,10,77.27,77.27
Osceola,43.9861,-85.3089,1,12,12,169,57.96,60.95
Oscoda,44.6833,-84.1353,1,8,8,80,37.98,44.19
Otsego,45.0306,-84.605,1,12,12,135,59.82,63.39
Ottawa,42.9436,-86.0031,5,14,70,1300,72.06,73.56
Presque Isle,45.4306,-83.9403,1,12,12,56,62.16,70.27
Roscommon,44.3019,-84.605,1,13,13,81,65.24,70.82
Saginaw,43.355,-84.0478,3,14,42,766,72.22,73.74
Sanilac,43.4275,-82.9478,2,10,20,262,49.9,53.73
Schoolcraft,46.1469,-86.2514,1,15,15,24,74.19,90.32
Shiawassee,42.9436,-84.1353,1,14,14,275,70.37,71.87
St. Clair,42.9158,-82.6761,4,12,48,813,61.94,64.19
St. Joseph,41.9133,-85.5364,2,11,22,387,57.0,59.44
Tuscola,43.4964,-83.3703,2,12,24,287,59.46,62.85
Van Buren,42.245,-86.0031,2,14,28,350,69.3,71.75
Washtenaw,42.2722,-83.9872,5,14,70,1329,71.72,73.21
Wayne,42.2814,-83.1883,25,13,325,6241,66.14,67.9
Wexford,44.3019,-85.5644,1,13,13,182,62.55,65.23
