cntyname,quarter,year,covg4313314,rank4313314,pop19_35
Alcona,Q4,2025,70.7964601769912,16,113.0
Alger,Q4,2025,59.5744680851064,64,94.0
Allegan,Q4,2025,70.8577517314864,15,1877.0
Alpena,Q4,2025,73.1988472622479,7,347.0
Antrim,Q4,2025,63.8297872340426,44,282.0
Arenac,Q4,2025,64.5962732919255,41,161.0
Baraga,Q4,2025,64.5454545454546,42,110.0
Barry,Q4,2025,62.2662266226623,54,909.0
Bay,Q4,2025,76.2992125984252,2,1270.0
Benzie,Q4,2025,72.2513089005236,9,191.0
Berrien,Q4,2025,62.855740922473,49,2038.0
Branch,Q4,2025,52.5345622119816,77,868.0
Calhoun,Q4,2025,62.5730994152047,51,2052.0
Cass,Q4,2025,65.9615384615385,33,520.0
Charlevoix,Q4,2025,61.4617940199336,58,301.0
Cheboygan,Q4,2025,59.7701149425287,63,261.0
Chippewa,Q4,2025,56.144578313253,70,415.0
Clare,Q4,2025,52.4705882352941,78,425.0
Clinton,Q4,2025,73.4753146176186,6,1033.0
Crawford,Q4,2025,67.8571428571429,28,168.0
Delta,Q4,2025,69.4835680751174,21,426.0
Detroit,Q4,2025,52.9911373707533,76,10832.0
Dickinson,Q4,2025,65.2567975830816,38,331.0
Eaton,Q4,2025,69.3877551020408,22,1519.0
Emmet,Q4,2025,70.2247191011236,18,356.0
Genesee,Q4,2025,65.3395784543326,37,5978.0
Gladwin,Q4,2025,55.8912386706949,72,331.0
Gogebic,Q4,2025,55.3333333333333,73,150.0
Grand Traverse,Q4,2025,68.8342585249802,24,1261.0
Gratiot,Q4,2025,71.2522045855379,14,567.0
Hillsdale,Q4,2025,56.2043795620438,69,685.0
Houghton,Q4,2025,53.7414965986395,75,588.0
Huron,Q4,2025,63.3906633906634,47,407.0
Ingham,Q4,2025,68.5865191146882,26,3976.0
Ionia,Q4,2025,65.2003910068426,40,1023.0
Iosco,Q4,2025,65.8307210031348,34,319.0
Iron,Q4,2025,50.4132231404959,79,121.0
Isabella,Q4,2025,65.5793025871766,36,889.0
Jackson,Q4,2025,67.1573137074517,29,2174.0
Kalamazoo,Q4,2025,72.9384133611691,8,3832.0
Kalkaska,Q4,2025,62.2222222222222,55,270.0
Kent,Q4,2025,75.5045950356438,3,11643.0
Keweenaw,Q4,2025,33.3333333333333,84,33.0
Lake,Q4,2025,55.072463768116,74,138.0
Lapeer,Q4,2025,50.3496503496504,80,1144.0
Leelanau,Q4,2025,62.89592760181,48,221.0
Lenawee,Q4,2025,68.7447346251053,25,1187.0
Livingston,Q4,2025,66.5024630541872,30,2639.0
Luce,Q4,2025,50.0,81,68.0
Mackinac,Q4,2025,56.140350877193,71,114.0
Macomb,Q4,2025,65.8027357811375,35,12501.0
Manistee,Q4,2025,58.7121212121212,66,264.0
Marquette,Q4,2025,68.4625492772668,27,761.0
Mason,Q4,2025,69.9386503067485,19,326.0
Mecosta,Q4,2025,60.5177993527508,60,618.0
Menominee,Q4,2025,61.0169491525424,59,295.0
Midland,Q4,2025,75.2542372881356,4,1180.0
Missaukee,Q4,2025,63.7554585152839,46,229.0
Monroe,Q4,2025,62.7272727272727,50,1870.0
Montcalm,Q4,2025,63.8530287984111,43,1007.0
Montmorency,Q4,2025,62.3655913978495,53,93.0
Muskegon,Q4,2025,71.6145833333333,13,2688.0
Newaygo,Q4,2025,60.079575596817,61,754.0
Oakland,Q4,2025,69.5584559844488,20,18005.0
Oceana,Q4,2025,66.1691542288557,31,402.0
Ogemaw,Q4,2025,63.7630662020906,45,287.0
Ontonagon,Q4,2025,77.2727272727273,1,44.0
Osceola,Q4,2025,57.9601990049751,67,402.0
Oscoda,Q4,2025,37.984496124031,83,129.0
Otsego,Q4,2025,59.8214285714286,62,336.0
Ottawa,Q4,2025,72.055030094583,11,4652.0
Presque Isle,Q4,2025,62.1621621621622,56,148.0
Roscommon,Q4,2025,65.2360515021459,39,233.0
Saginaw,Q4,2025,72.2161770039899,10,2757.0
Sanilac,Q4,2025,49.9043977055449,82,523.0
Schoolcraft,Q4,2025,74.1935483870968,5,93.0
Shiawassee,Q4,2025,70.3663793103448,17,928.0
St. Clair,Q4,2025,61.938202247191,57,2136.0
St. Joseph,Q4,2025,57.0,68,900.0
Tuscola,Q4,2025,59.4632768361582,65,708.0
Van Buren,Q4,2025,69.2982456140351,23,1140.0
Washtenaw,Q4,2025,71.7234042553192,12,4700.0
Wayne,Q4,2025,66.1367335865437,32,18430.0
Wexford,Q4,2025,62.5514403292181,52,486.0
