cntyname,lat,lon,visits,vaccinated,unvacc,coverage_pct
Alcona,44.6694,-83.1827,1,20,33,70.7964601769912
Alger,46.4468,-86.5373,2,40,38,59.5744680851064
Allegan,42.5906,-85.8908,2,40,547,70.8577517314864
Alpena,45.065,-83.4327,1,20,93,73.1988472622479
Antrim,45.0164,-85.1561,6,120,102,63.8297872340426
Arenac,44.0417,-83.9127,3,60,57,64.5962732919255
Baraga,46.7611,-88.4937,2,40,39,64.5454545454546
Barry,42.5994,-85.3089,18,360,343,62.2662266226623
Bay,43.6961,-83.9838,1,20,301,76.2992125984252
Benzie,44.6028,-86.0875,1,20,53,72.2513089005236
Berrien,41.9275,-86.4228,38,760,757,62.855740922473
Branch,41.9133,-85.0625,21,420,412,52.5345622119816
Calhoun,42.245,-85.0011,39,780,768,62.5730994152047
Cass,41.9133,-85.9942,1,20,177,65.9615384615385
Charlevoix,45.3436,-85.1738,6,120,116,61.4617940199336
Cheboygan,45.57,-84.481,6,120,105,59.7701149425287
Chippewa,46.3939,-84.5819,10,200,182,56.144578313253
Clare,43.9861,-84.8441,11,220,202,52.4705882352941
Clinton,42.9436,-84.5994,1,20,274,73.4753146176186
Crawford,44.6833,-84.605,1,20,54,67.8571428571429
Delta,45.8006,-86.9141,1,20,130,69.4835680751174
Detroit,42.3314,-83.0458,255,5100,5092,52.9911373707533
Dickinson,46.0042,-87.873,6,120,115,65.2567975830816
Eaton,42.5994,-84.8413,2,40,465,69.3877551020408
Emmet,45.5528,-84.9538,1,20,106,70.2247191011236
Genesee,43.0128,-83.6927,104,2080,2072,65.3395784543326
Gladwin,43.9861,-84.3619,8,160,146,55.8912386706949
Gogebic,46.4928,-89.8627,4,80,67,55.3333333333333
Grand Traverse,44.7436,-85.5644,1,20,393,68.8342585249802
Gratiot,43.2961,-84.5994,1,20,163,71.2522045855379
Hillsdale,41.9133,-84.5994,15,300,300,56.2043795620438
Houghton,47.0042,-88.6064,14,280,272,53.7414965986395
Huron,43.9275,-83.0605,8,160,149,63.3906633906634
Ingham,42.5994,-84.3619,4,80,1249,68.5865191146882
Ionia,42.9436,-85.0625,18,360,356,65.2003910068426
Iosco,44.3019,-83.5189,1,20,109,65.8307210031348
Iron,46.21,-88.5214,3,60,60,50.4132231404959
Isabella,43.6294,-84.8441,12,240,306,65.5793025871766
Jackson,42.245,-84.4022,2,40,714,67.1573137074517
Kalamazoo,42.245,-85.5364,3,60,1037,72.9384133611691
Kalkaska,44.7297,-85.1611,6,120,102,62.2222222222222
Kent,43.0128,-85.5364,8,160,2852,75.5045950356438
Keweenaw,47.45,-88.09,2,40,22,33.3333333333333
Lake,43.9861,-85.82,4,80,62,55.072463768116
Lapeer,43.0997,-83.2188,29,580,568,50.3496503496504
Leelanau,45.0653,-85.7703,5,100,82,62.89592760181
Lenawee,41.9136,-84.0478,1,20,371,68.7447346251053
Livingston,42.5994,-83.9127,3,60,884,66.5024630541872
Luce,46.4736,-85.4892,2,40,34,50.0
Mackinac,46.0897,-84.7478,3,60,50,56.140350877193
Macomb,42.67,-82.92,214,4280,4275,65.8027357811375
Manistee,44.2972,-86.0875,6,120,109,58.7121212121212
Marquette,46.5503,-87.6536,1,20,240,68.4625492772668
Mason,43.9861,-86.0875,1,20,98,69.9386503067485
Mecosta,43.6294,-85.3089,13,260,244,60.5177993527508
Menominee,45.5275,-87.5817,6,120,115,61.0169491525424
Midland,43.6294,-84.3619,1,20,292,75.2542372881356
Missaukee,44.3019,-85.1053,5,100,83,63.7554585152839
Monroe,41.9136,-83.4889,35,700,697,62.7272727272727
Montcalm,43.2961,-85.1053,19,380,364,63.8530287984111
Montmorency,45.0306,-84.1353,2,40,35,62.3655913978495
Muskegon,43.355,-86.1089,2,40,763,71.6145833333333
Newaygo,43.6294,-85.82,16,320,301,60.079575596817
Oakland,42.6564,-83.3816,14,280,5481,69.5584559844488
Oceana,43.6586,-86.2142,7,140,136,66.1691542288557
Ogemaw,44.3019,-84.1353,6,120,104,63.7630662020906
Ontonagon,46.7972,-89.17,1,20,10,77.2727272727273
Osceola,43.9861,-85.3089,9,180,169,57.9601990049751
Oscoda,44.6833,-84.1353,4,80,80,37.984496124031
Otsego,45.0306,-84.605,7,140,135,59.8214285714286
Ottawa,42.9436,-86.0031,4,80,1300,72.055030094583
Presque Isle,45.4306,-83.9403,3,60,56,62.1621621621622
Roscommon,44.3019,-84.605,5,100,81,65.2360515021459
Saginaw,43.355,-84.0478,2,40,766,72.2161770039899
Sanilac,43.4275,-82.9478,14,280,262,49.9043977055449
Schoolcraft,46.1469,-86.2514,1,20,24,74.1935483870968
Shiawassee,42.9436,-84.1353,1,20,275,70.3663793103448
St. Clair,42.9158,-82.6761,41,820,813,61.938202247191
St. Joseph,41.9133,-85.5364,20,400,387,57.0
Tuscola,43.4964,-83.3703,15,300,287,59.4632768361582
Van Buren,42.245,-86.0031,1,20,350,69.2982456140351
Washtenaw,42.2722,-83.9872,4,80,1329,71.7234042553192
Wayne,42.2814,-83.1883,313,6260,6241,66.1367335865437
Wexford,44.3019,-85.5644,10,200,182,62.5514403292181
